covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),HR,logHR
Age,0.001517771828444037,1.001518924227058,0.0188997976225872,-0.03552515082692261,0.038560694483810685,0.9650984609004012,1.0393138070587369,0.0,0.08030624765156975,0.9359936893576768,0.09542929196231072,1.001518924227058,0.001517771828444037
Tumor size (cm),0.1121845821103146,1.1187193371646267,0.1290184720704185,-0.1406869764880925,0.3650561407087217,0.868761211825416,1.4405948818966916,0.0,0.8695234125008399,0.38456090796021924,1.3787159800472018,1.1187193371646267,0.1121845821103146
Grade,0.4541412852672295,1.5748204806903012,0.30401481412729014,-0.14171680118889796,1.0499993717233571,0.8678670005898143,2.8576493226682764,0.0,1.4938130122734146,0.13522449952059976,2.8865715369447402,1.5748204806903012,0.4541412852672295
Stage (TNM 8th edition)_IA3,-0.5885931308904153,0.5551076995099985,0.465610850254425,-1.5011736282001604,0.3239873664193299,0.22286844191016672,1.3826298394435266,0.0,-1.2641310454186985,0.20618299525375902,2.2780027421750346,0.5551076995099985,-0.5885931308904153
Stage (TNM 8th edition)_IB,-0.6051772269636323,0.5459776561025863,0.45811371822555014,-1.5030636155094412,0.2927091615821765,0.2224476211815018,1.340052994857841,0.0,-1.3210196571011132,0.1864948099682145,2.422792613132351,0.5459776561025863,-0.6051772269636323
Stage (TNM 8th edition)_IIA,0.8557302783294101,2.3530921654835706,1.092143761638162,-1.2848321604214847,2.996292717080305,0.2766970204461848,20.011212012082602,0.0,0.7835326340607913,0.43331439768185886,1.2065139212382803,2.3530921654835706,0.8557302783294101
Stage (TNM 8th edition)_IIB,0.33910687664630595,1.4036933592347625,0.5891483730207455,-0.8156027160247246,1.4938164693173364,0.44237262192747034,4.454061913177854,0.0,0.5755882425807277,0.5648935300011336,0.8239491180036448,1.4036933592347625,0.33910687664630595
Stage (TNM 8th edition)_IIIA,0.2854903840444596,1.330414282117398,0.527453087556827,-0.748298671101373,1.3192794391902922,0.4731708876330222,3.7407249860957523,0.0,0.5412621345470867,0.5883269157871374,0.7653100542432302,1.330414282117398,0.2854903840444596
Stage (TNM 8th edition)_IIIB,1.3808688887411933,3.978356875661961,0.8842377995488411,-0.3522053521434829,3.1139431296258695,0.7031357167232958,22.509628018733274,0.0,1.5616487888730215,0.11837074915913952,3.0786154772371535,3.978356875661961,1.3808688887411933
Stage (TNM 8th edition)_IVA,1.6458359385605519,5.18534272364429,1.2315149121804367,-0.7678889357371115,4.059560812858216,0.4639915511096326,57.94885509735866,0.0,1.3364320011736979,0.18140811240675953,2.462689121560576,5.18534272364429,1.6458359385605519
Stage (TNM 8th edition)_Recurrence,1.0004657946257864,2.7195482844574155,0.7944628173032116,-0.5566527143447331,2.5575843035963057,0.5731242673327563,12.904606021858054,0.0,1.2592984502683813,0.20792255279188393,2.2658818430097116,2.7195482844574155,1.0004657946257864
Type.Adjuvant_Chemorad,1.2902219358268194,3.6335928907147172,0.8256433088068205,-0.32800921351103063,2.9084530851646697,0.7203563826632485,18.328424115073968,0.0,1.562686843173701,0.11812627051881405,3.0815982484206574,3.6335928907147172,1.2902219358268194
Type.Adjuvant_None,0.08054943196991485,1.0838824237613913,0.43671162734382196,-0.7753896292538537,0.9364884931936833,0.46052431229392693,2.5510077908526543,0.0,0.1844453569048174,0.853664090475918,0.22825960154980324,1.0838824237613913,0.08054943196991485
Type.Adjuvant_XRT,0.9919963731244689,2.6966125470572133,2.324554861796855,-3.56404743608485,5.5480401823337875,0.028323953013575154,256.7339108867039,0.0,0.42674681050877267,0.6695637514952493,0.5787066687816514,2.6966125470572133,0.9919963731244689
EGFR_Exon 19 (15bp delete),-0.9739399630969069,0.377592403373819,1.2830177235891138,-3.488608492858136,1.5407285666643222,0.03054334389567764,4.667989974267146,0.0,-0.7591009424035136,0.44779217545892,1.1590987755517814,0.377592403373819,-0.9739399630969069
EGFR_Exon 19 (24bp delete),-0.7559783421616676,0.4695510083925044,2.40822635610811,-5.476015266753694,3.9640585824303587,0.0041859765090905155,52.670660956556794,0.0,-0.3139149857089805,0.7535856083429685,0.4081566816490966,0.4695510083925044,-0.7559783421616676
EGFR_Exon 19 (9bp delete),1.1944478819741868,3.301734320133492,0.9263876695076393,-0.6212385859827807,3.010134349931154,0.5372785596134485,20.2901257191252,0.0,1.2893607301671204,0.19727270698786636,2.3417367243148086,3.301734320133492,1.1944478819741868
EGFR_Exon 21,0.8593982546312857,2.361739100464301,0.8814919036166814,-0.8682941291210624,2.587090638383634,0.41966683641550434,13.291046836828054,0.0,0.974936072702713,0.32959197128233736,1.601246995364513,2.361739100464301,0.8593982546312857
EGFR_Exon 21 (L858R),1.81325506705856,6.1303697550381635,0.9087114521836037,0.03221334843960544,3.594296785677515,1.0327378148042488,36.39010094794493,0.0,1.9954134645286663,0.0459978036168337,4.442291215273624,6.1303697550381635,1.81325506705856
EGFR_Negative,0.18457716065999633,1.2027097795850143,0.5478935603255614,-0.8892744849395274,1.2584288062595201,0.41095379779064545,3.5198867164292227,0.0,0.33688507043287674,0.7362035402234353,0.44182340757979544,1.2027097795850143,0.18457716065999633
EGFR_nan,0.9675972764262624,2.6316138164535277,0.5827285903350037,-0.17452977339214026,2.109724326244665,0.8398518486185326,8.245967774364772,0.0,1.6604595904072637,0.09682203073634323,3.3685208363058927,2.6316138164535277,0.9675972764262624
KRAS_G12C,0.767159976397462,2.15364116845859,0.6162439783987745,-0.440656026953815,1.9749759797487392,0.6436140543887882,7.206446551084635,0.0,1.2448965073716778,0.21316979490373875,2.229925064997325,2.15364116845859,0.767159976397462
KRAS_G12D,0.6630380548413313,1.9406792775206227,0.7723250884240308,-0.8506913028264818,2.176767412509144,0.42711956090537173,8.817755970282933,0.0,0.8584960721582858,0.39061859845120106,1.3561674532547343,1.9406792775206227,0.6630380548413313
KRAS_G12F,-1.2793922981750758,0.278206315578275,1.5206956458936758,-4.259900995573556,1.701116399223404,0.014123700649828964,5.480061914833634,0.0,-0.8413204191317376,0.40016845449780214,1.3213206516150893,0.278206315578275,-1.2793922981750758
KRAS_G12R,-0.7821382183597022,0.45742688632020734,2.3918443926745634,-5.470067084625925,3.9057906479065205,0.004210949658538824,49.689351166740096,0.0,-0.3270021330631439,0.7436662718795413,0.42727275301661843,0.45742688632020734,-0.7821382183597022
KRAS_G12V,0.03655001276179227,1.037226177266305,0.6309718407835149,-1.200132070432838,1.2732320959564227,0.30115443568895583,3.5723801987019055,0.0,0.05792653554302196,0.9538071462994266,0.06823050287419402,1.037226177266305,0.03655001276179227
KRAS_G13C,0.9919963731244688,2.696612547057213,2.324554861796855,-3.5640474360848504,5.5480401823337875,0.028323953013575147,256.7339108867038,0.0,0.42674681050877267,0.6695637514952493,0.5787066687816514,2.696612547057213,0.9919963731244688
KRAS_G13D,-1.1081039907169588,0.33018440065696003,2.1980497989385914,-5.4162024328621055,3.1999944514281875,0.004443990997987846,24.53239407698145,0.0,-0.5041305211792959,0.6141696603948807,0.7032908490648734,0.33018440065696003,-1.1081039907169588
KRAS_G13F,-0.8683661891199318,0.4196365963133107,2.338604616913295,-5.45194701234908,3.715214634109216,0.004287947870520093,41.06740060346433,0.0,-0.3713180855112145,0.7104006290415757,0.493295235729242,0.4196365963133107,-0.8683661891199318
KRAS_G13R,1.396642561027866,4.0416077107894,1.1841480721687319,-0.924245012785385,3.717530134841117,0.3968309082676174,41.16260237697136,0.0,1.179449254576716,0.2382193319971982,2.069637599213528,4.0416077107894,1.396642561027866
KRAS_Negative,-0.44839908651113713,0.6386497566630374,0.4682208566350152,-1.366095102326259,0.4692969293039847,0.2551011610923618,1.5988696795389432,0.0,-0.9576657685299793,0.3382313234030916,1.563917821816804,0.6386497566630374,-0.44839908651113713
KRAS_nan,-0.0008101810077799158,0.9991901471002378,0.547506416320989,-1.0739030383015111,1.0722826762859514,0.34167235128750045,2.922041968863048,0.0,-0.0014797653207865376,0.9988193185278237,0.0017043696617280747,0.9991901471002378,-0.0008101810077799158
Cigarette_Former,-0.08320339661312103,0.9201639699501548,0.4275909942562082,-0.9212663454689622,0.7548595522427202,0.39801469770641584,2.1273127260716755,0.0,-0.1945864102162694,0.8457167427724155,0.24175355474003313,0.9201639699501548,-0.08320339661312103
Cigarette_Never,-0.17631536656374694,0.8383535529638133,0.5017357269964924,-1.1596993212338929,0.807068588106399,0.3135804536928706,2.241328091372133,0.0,-0.35141082661027956,0.7252801612350936,0.46338970782911326,0.8383535529638133,-0.17631536656374694
Sex_Male,0.23641465168443992,1.266699440342917,0.3584224137897832,-0.46608037059544755,0.9389096739643275,0.6274568529398904,2.557191725052003,0.0,0.6595978448577117,0.5095119376453834,0.9728121463764765,1.266699440342917,0.23641465168443992
